document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
Visa requirements for United States citizens,,which countries can you visit with an american passport,NONE,,,,,,,,,,,,,,,,,,,,,,,
Royal Rumble (2018),,winner of the women's royal rumble match,NONE,338-339,,,,,,,,,,,,,,,,,,,,,,
Venus,,how does venus rate in terms of other planets,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ulnar nerve,,striking the funny bone is actually compression of the,NONE,320-322,,,,,,,,,,,,,,,,,,,,,,
God in Judaism,,what are the main doctrines about the nature of god in judaism,NONE,,,,,,,,,,,,,,,,,,,,,,,
First Amendment to the United States Constitution,,list of rights protected by the first amendment,NONE,382-429,,,,,,,,,,,,,,,,,,,,,,
Artery,,what is the name of the main artery which takes blood from the heart to the body,NONE,1065-1067,,,,,,,,,,,,,,,,,,,,,,
Civilian Conservation Corps,,what was the goal of the civilian conservation corps,NONE,,,,,,,,,,,,,,,,,,,,,,,
Poverty in the United States,,what percentage of the us population lives below the poverty line,NONE,159-165,,,,,,,,,,,,,,,,,,,,,,
Lay Your Hands on Me (Boom Boom Satellites song),,lay your hands on me boom boom satellites music video,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gold reserve,,where is most of the worlds gold held,NONE,,,,,,,,,,,,,,,,,,,,,,,
Crepuscular,,animals that are active at dawn and dusk,NONE,,,,,,,,,,,,,,,,,,,,,,,
Computer program,,input that tells the computer which task to execute is,NONE,,,,,,,,,,,,,,,,,,,,,,,
Thriller (song),,who did the voiceover in michael jackson's thriller,NONE,1500-1502,,,,,,,,,,,,,,,,,,,,,,
Cast Away,,what was tom hanks character name in castaway,NONE,1258-1260,,,,,,,,,,,,,,,,,,,,,,
Mark Shuttleworth,,who is the founder of the ubuntu project,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of New England hurricanes,,when was the last time new england had a hurricane,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible (film series),,what's the name of the last mission impossible movie,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hold Back the River (James Bay song),,what is the song hold back the river about,NONE,,,,,,,,,,,,,,,,,,,,,,,
Alaska Time Zone,,what time is it in alaska time zone,NONE,186-191,,,,,,,,,,,,,,,,,,,,,,
Vikram Samvat,,in which country bikram sambhat the official calender,NONE,273-274,,,,,,,,,,,,,,,,,,,,,,
Field of Dreams,,who played the voice in field of dreams,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lover's Leap,,the story of lover's leap in jamaica,NONE,,,,,,,,,,,,,,,,,,,,,,,
Arthur Phillip,,when did the first fleet arive in australia,NONE,2514-2517,,,,,,,,,,,,,,,,,,,,,,
Dove's dung,,what is a kab of dove's dung,NONE,,,,,,,,,,,,,,,,,,,,,,,
First Transcontinental Railroad,,who came up with the idea of the transcontinental railroad,NONE,951-954,,,,,,,,,,,,,,,,,,,,,,
King (surname),,where did the last name king come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Epididymis,,the epididymis is a tube in which sperm cells mature,NONE,,,,,,,,,,,,,,,,,,,,,,,
2018 Winter Olympics opening ceremony,,when are the opening ceremonies for the 2018 olympic games,NONE,81-84,,,,,,,,,,,,,,,,,,,,,,
United States,,is the united states a country or nation,NONE,958-959,,,,,,,,,,,,,,,,,,,,,,
I Hear You Knocking,,who sang the song i hear you knocking,NONE,,,,,,,,,,,,,,,,,,,,,,,
Second line (parades),,what is a second line parade in new orleans,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of the largest fast food restaurant chains,,who has the most restaurants in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pam Beesly,,when does jim propose to pam on the office,NONE,2678-2683,,,,,,,,,,,,,,,,,,,,,,
Tobacco advertising,,when were cigarette ads banned from tv uk,NONE,5922-5925,,,,,,,,,,,,,,,,,,,,,,
Marquis St. Evrémonde,,is the monseigneur and the marquis the same person,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Last Time I Saw Paris,,when was the last time we saw snow in september,NONE,,,,,,,,,,,,,,,,,,,,,,,
SAT,,when did the sat become out of 1600,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Prime Ministers of India,,who is the prime minister of india full name,NONE,571-573,,,,,,,,,,,,,,,,,,,,,,
List of Pokémon: Advanced Battle episodes,,what episode does ash enter the hoenn league,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tyrant,,how are tyrants today different from those in ancient greece,NONE,,,,,,,,,,,,,,,,,,,,,,,
Director of the Federal Bureau of Investigation,,who does the head of the fbi report to,NONE,285-288,,,,,,,,,,,,,,,,,,,,,,
Teotihuacan,,which of these elements was not possessed by the great mesoamerican city of teotihuacan,NONE,,,,,,,,,,,,,,,,,,,,,,,
Taurine,,where does the taurine in monster come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Runaways (TV series),,when does the next marvel's runaways come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Jesuit educational institutions,,list of jesuit universities in the united states,NONE,,,,,,,,,,,,,,,,,,,,,,,
God of War: Ghost of Sparta,,when does god of war ghost of sparta take place,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Glory, Glory (Lay My Burden Down)",,glory glory hallelujah when i lay my burden down,NONE,,,,,,,,,,,,,,,,,,,,,,,
Italy (Everybody Loves Raymond),,where was the italian episode of everybody loves raymond filmed,NONE,1238-1246,,,,,,,,,,,,,,,,,,,,,,
Hurricane (cocktail),,what is in a pat o brien hurricane,NONE,,,,,,,,,,,,,,,,,,,,,,,
Red Wing Shoes,,where are red wing irish setter boots made,NONE,,,,,,,,,,,,,,,,,,,,,,,
Battle of Tippecanoe,,events leading up to the battle of tippecanoe,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chicago P.D. (season 5),,when is the new season of chicago pd,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gimme Shelter,,what does the song gimme shelter mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Client (1994 film),,what happened to david speck in the movie the client,NONE,,,,,,,,,,,,,,,,,,,,,,,
Smart card,,who invented the chip in. debit cards,NONE,,,,,,,,,,,,,,,,,,,,,,,
Northwest Passage,,who led an expedition in search of the northwest passage for the french,NONE,3332-3341,,,,,,,,,,,,,,,,,,,,,,
Calx,,what is the main sign that your metallic substance is turning into calx,NONE,,,,,,,,,,,,,,,,,,,,,,,
Good Night (Beatles song),,who sings good night on the beatles white album,NONE,230-232,,,,,,,,,,,,,,,,,,,,,,
List of 40-plus point games by LeBron James,,when was the last time lebron scored 50 points,NONE,5649-5653,,,,,,,,,,,,,,,,,,,,,,
Syrian Civil War,,who is at war with syria and why,NONE,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Lucas,,who played charlotte lucas in pride and prejudice,NONE,,,,,,,,,,,,,,,,,,,,,,,
Doug Ross,,how many episodes of er was george clooney in,NONE,,,,,,,,,,,,,,,,,,,,,,,
Yom Kippur,,what are the 5 prohibitions of yom kippur,NONE,,,,,,,,,,,,,,,,,,,,,,,
Supreme Court of Illinois,,who picks the chief justice of the illinois supreme court,NONE,406-413,,,,,,,,,,,,,,,,,,,,,,
Geothermal power,,where is geothermal energy being used right now,NONE,,,,,,,,,,,,,,,,,,,,,,,
Let My Love Open the Door,,who sings let my love open the door,NONE,,,,,,,,,,,,,,,,,,,,,,,
Age of Discovery,,who began the age of exploration in portugal,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States presidential line of succession,,who becomes vice president when the president is impeached,NONE,,,,,,,,,,,,,,,,,,,,,,,
Early skyscrapers,,who contributed more to the design of skyscrapers,NONE,,,,,,,,,,,,,,,,,,,,,,,
1946 Cabinet Mission to India,,who framed and suggested the plan of balkan to transfer power from england to india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jordan River,,what is the collection of the districts to the east of the jordan river,NONE,,,,,,,,,,,,,,,,,,,,,,,
Leaning Tower of Pisa,,what is the angle of the tower of pisa,NONE,574-577,,,,,,,,,,,,,,,,,,,,,,
List of Disney Princess firsts,,who was the first disney princess ever made,NONE,,,,,,,,,,,,,,,,,,,,,,,
Presbyopia,,how can you remove the defect of vision presbyopia,NONE,,,,,,,,,,,,,,,,,,,,,,,
America's Got Talent (season 5),,who won the fifth season of america's got talent,NONE,232-236,,,,,,,,,,,,,,,,,,,,,,
John Scully (American football),,who wrote here come the irish of notre dame,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sword Art Online The Movie: Ordinal Scale,,when does the sword art online movie take place,NONE,508-511,,,,,,,,,,,,,,,,,,,,,,
Neuropsychology,,which approach to psychology focuses on the body especially the brain and nervous system,NONE,3549-3550,,,,,,,,,,,,,,,,,,,,,,
North India,,name the religious centres in the northern plains of india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lloyds Bank,,is there a lloyds bank in northern ireland,NO,,,,,,,,,,,,,,,,,,,,,,,
Climate of South Carolina,,what type of weather does south carolina have,NONE,23-33,,,,,,,,,,,,,,,,,,,,,,
List of proverbial phrases,,where does the term gift horse come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Great Barrier Reef Marine Park,,where is the great barrier reef national park located,NONE,642-657,,,,,,,,,,,,,,,,,,,,,,
Go Outside in the Rain,,who sings the song i want to go outside in the rain,NONE,239-240,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,how did the dominican republic get its name,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of current Indian chief ministers,,list of chief minister of all states of india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Climate of North Dakota,,when does the snow melt in north dakota,NONE,,,,,,,,,,,,,,,,,,,,,,,
Declaration of war by the United States,,when does congress declare war for the first time,NONE,811-814,,,,,,,,,,,,,,,,,,,,,,
Italian fashion,,italian fashion designer who initially specialized in menswear,NONE,,,,,,,,,,,,,,,,,,,,,,,
Joie de vivre,,how do you say zest for life in french,NONE,66-69,,,,,,,,,,,,,,,,,,,,,,
Hollywood Video,,when did hollywood video go out of business,NONE,238-240,,,,,,,,,,,,,,,,,,,,,,
War ina Babylon,,max romeo and the upsetters war ina babylon,NONE,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Stadium at Hollywood Park,,los angeles stadium at hollywood park opening date,NONE,423-424,,,,,,,,,,,,,,,,,,,,,,
Hairpin turn,,another name for a hairpin bend crossword clue,NONE,175-177,178-180,236-237,,,,,,,,,,,,,,,,,,,,
Zone defense,,when did the nba start playing zone defense,NONE,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,indonesia is the fourth largest country in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Muscle,,where are muscle cells found in the body,NONE,,,,,,,,,,,,,,,,,,,,,,,
And Now His Watch Is Ended,,game of thrones and now his watch is ended,NONE,,,,,,,,,,,,,,,,,,,,,,,
International rankings of India,,what is the rank of india in economic growth,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gimme Gimme Gimme (TV series),,when did gimme gimme gimme start,NONE,2518-2521,,,,,,,,,,,,,,,,,,,,,,
Microsporidia,,explain the significance of the reduced mitochondria of the microsporidia,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lenape,,when did the lenape first appear in nj,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lobbying in the United States,,what are examples of environmental interest groups in the us today,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wit Studio,,new anime from the creators of attack on titan,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bernward Doors,,the doors of the hildesheim church c. 1015 were carved in wood,NONE,,,,,,,,,,,,,,,,,,,,,,,
McKinley Tariff,,negative side effect of the tariff bill of 1890,NONE,,,,,,,,,,,,,,,,,,,,,,,
Reservation in India,,why is there a provision of reservation of seats in the legislature,NONE,318-338,,,,,,,,,,,,,,,,,,,,,,
Climate of Dubai,,when does it start getting hot in dubai,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Cleveland Browns head coaches,,who was the coach of the cleveland browns when they moved to baltimore,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beyond the Sea (film),,who sang the songs in the movie beyond the sea,NONE,319-321,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (2017 soundtrack),,who sing in beauty and the beast 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Crossing (TV series),,where's the tv show the crossing filmed,NONE,343-347,,,,,,,,,,,,,,,,,,,,,,
List of languages by number of native speakers,,what are the top five spoken languages in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mary Mack,,miss mary mack mack mack all dressed in black black black with silver buttons,NONE,,,,,,,,,,,,,,,,,,,,,,,
Boston Massacre,,what's the significance of the boston massacre,NONE,616-623,,,,,,,,,,,,,,,,,,,,,,
Mitral valve,,where is the mitral (bicuspid) valve located,NONE,175-189,,,,,,,,,,,,,,,,,,,,,,
Premier League records and statistics,,who scored the most goals in premier league season,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States budget process,,when was the last time we had a budget passed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ring Up!,,what did ted do to barney's sister,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of laws concerning immigration and naturalization in the United States,,the first significant restriction on free immigration in u.s. history was the,NONE,,,,,,,,,,,,,,,,,,,,,,,
Just Dropped In (To See What Condition My Condition Was In),,who sang what condition my condition is in,NONE,,,,,,,,,,,,,,,,,,,,,,,
Prescott Fire Department,,when did the granite mountain hotshots get certified,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jeepers Creepers 3,,who played the creature on jeepers creepers 3,NONE,269-271,,,,,,,,,,,,,,,,,,,,,,
Move Your Feet,,yo come on move this shake that body,NONE,,,,,,,,,,,,,,,,,,,,,,,
Oakland Raiders,,when was the last year the raiders won the superbowl,NONE,398-399,,,,,,,,,,,,,,,,,,,,,,
Limiting factor,,the combination of biotic and abiotic factors which may limit population increase is called,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rachel Bilson,,who played zoe hart on hart of dixie,NONE,108-111,,,,,,,,,,,,,,,,,,,,,,
Virginia Dare,,who was the first english child born in north america,NONE,68-70,,,,,,,,,,,,,,,,,,,,,,
Word of Wisdom,,when did the word of wisdom become mandatory,NONE,1473-1475,,,,,,,,,,,,,,,,,,,,,,
Mount Everest,,mount everest is part of what mountain range,NONE,504-512,,,,,,,,,,,,,,,,,,,,,,
Hit the Road Jack,,ray charles hit the road jack album name,NONE,138-142,,,,,,,,,,,,,,,,,,,,,,
Mandy Moore (choreographer),,who does the choreography for dancing with the stars,NONE,149-155,,,,,,,,,,,,,,,,,,,,,,
Bengali novels,,who wrote the first historical novel in bengali,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flag of Romania,,what do the colors on chad's flag represent,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Presidents of Zambia,,who is the president of the republic of zambia,NONE,40-42,,,,,,,,,,,,,,,,,,,,,,
Continuous and Comprehensive Evaluation,,importance of continuous and comprehensive evaluation in mathematics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Disney Channel,,what channel is the disney channel on fios,NONE,,,,,,,,,,,,,,,,,,,,,,,
Arabic language influence on the Spanish language,,where did the last name salgado come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Strauss–Howe generational theory,,neil howe and william strauss from millennials rising,NONE,,,,,,,,,,,,,,,,,,,,,,,
"The Wrong Side of Heaven and the Righteous Side of Hell, Volume 1",,five finger death punch wrong side of heaven and the righteous side of hell,NONE,,,,,,,,,,,,,,,,,,,,,,,
Elections in Canada,,how often is there an election in canada,NONE,,,,,,,,,,,,,,,,,,,,,,,
Christmas Kettle,,where was the salvation army's christmas collection kettle first introduced,NONE,296-298,,,,,,,,,,,,,,,,,,,,,,
Communications satellite,,what type of energy do satellites generally use to communicate with earth,NONE,167-171,,,,,,,,,,,,,,,,,,,,,,
Fargo (season 2),,how many episodes in season 2 of fargo,NONE,83-84,,,,,,,,,,,,,,,,,,,,,,
Walking Dead,,which came first the walking dead comic or show,NONE,362-363,,,,,,,,,,,,,,,,,,,,,,
Megan Park,,who plays grace in the secret life of the american teenager,NONE,100-102,,,,,,,,,,,,,,,,,,,,,,
Polar bear,,where do polar bears live and what's their habitat,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sport utility vehicle,,what is the meaning of auv in cars,NONE,6512-6515,,,,,,,,,,,,,,,,,,,,,,
When Calls the Heart,,who played mr thatcher in when calls the heart,NONE,1703-1705,,,,,,,,,,,,,,,,,,,,,,
The Whiskey Ain't Workin',,who sings the whiskey ain't workin anymore,NONE,322-327,,,,,,,,,,,,,,,,,,,,,,
History of U.S. foreign policy,,for the first part of the country's history american foreign policy,NONE,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia Eagles,,how many games have the eagles lost this season,NONE,,,,,,,,,,,,,,,,,,,,,,,
Nodar Kumaritashvili,,who died doing the luge in the olympics,NONE,187-189,,,,,,,,,,,,,,,,,,,,,,
Brown v. Board of Education,,what was the outcome of the famous 1954 case of brown v. board of education of topeka,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Can Only Imagine (MercyMe song),,who wrote and performed i can only imagine,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of volcanoes in the United States,,why we do not have volcanoes at the eastern area of north america,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of U.S. states by date of admission to the Union,,when did the last state became a state,NONE,2052-2053,,,,,,,,,,,,,,,,,,,,,,
Vice President of the United States,,who became the new nation's first president and vice president,NONE,,,,,,,,,,,,,,,,,,,,,,,
Diamond cubic,,what is the packing factor of sic in that structure,NONE,,,,,,,,,,,,,,,,,,,,,,,
PewDiePie,,someone who was born and raised in sweden,NONE,,,,,,,,,,,,,,,,,,,,,,,
Raindrops Keep Fallin' on My Head,,who sang rain drops keep falling on my head,NONE,,,,,,,,,,,,,,,,,,,,,,,
Inner core,,what is the thickness of earth's inner core,NONE,67-74,,,,,,,,,,,,,,,,,,,,,,
LASIK,,when was laser eye surgery invented and for what purpose,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rock and Roll All Nite,,who sings i want to rock and roll,NONE,,,,,,,,,,,,,,,,,,,,,,,
401(k),,in the united states the 401(k) plan or individual retirement account is a defined plan,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Shape of Water,,what is the storyline of the movie shape of water,NONE,,,,,,,,,,,,,,,,,,,,,,,
Business intelligence,,big data and the components of business intelligence,NONE,,,,,,,,,,,,,,,,,,,,,,,
Demand curve,,factors causing a shift in the demand curve,NONE,,,,,,,,,,,,,,,,,,,,,,,
Around the Horn,,who has the most wins on around the horn,NONE,703-705,,,,,,,,,,,,,,,,,,,,,,
Arsenal F.C.,,how many champions league trophies does arsenal have,NONE,7261-7262,,,,,,,,,,,,,,,,,,,,,,
Mason Verger,,who is the guy in the wheelchair in hannibal,NONE,,,,,,,,,,,,,,,,,,,,,,,
Holland,,when did holland change its name to the netherlands,NONE,,,,,,,,,,,,,,,,,,,,,,,
Engagement ring,,where does a girl wear an engagement ring,NONE,,,,,,,,,,,,,,,,,,,,,,,
"San Joaquin County, California",,what cities are in san joaquin county california,NONE,8144-8145,8147-8148,8150-8151,8153-8154,8156-8157,8159-8160,8166-8167,,,,,,,,,,,,,,,,
New Japan Pro-Wrestling,,when does new japan pro wrestling come on,NONE,,,,,,,,,,,,,,,,,,,,,,,
1 + 2 + 3 + 4 + ⋯,,the sum of all numbers from 1 to infinity,NONE,,,,,,,,,,,,,,,,,,,,,,,
Periodic table,,the first element on the periodic table is,NONE,1069-1070,,,,,,,,,,,,,,,,,,,,,,
Director of football,,what does a director of a football club do,NONE,,,,,,,,,,,,,,,,,,,,,,,
Golden Nugget Atlantic City,,who owns the golden nugget casino in atlantic city,NONE,185-190,,,,,,,,,,,,,,,,,,,,,,
To God Be the Glory,,when was to god be the glory written,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cell nucleus,,which of the following is contained in the nucleus of a eukaryotic cell,NONE,,,,,,,,,,,,,,,,,,,,,,,
World Trade Center station (PATH),,where is the oculus in new york city,NONE,4340-4350,,,,,,,,,,,,,,,,,,,,,,
Minicomputer,,who is considered the 'father' of the minicomputer,NONE,,,,,,,,,,,,,,,,,,,,,,,
"When the Going Gets Tough, the Tough Get Going (song)",,billy ocean when the going gets tough movie,NONE,394-399,,,,,,,,,,,,,,,,,,,,,,
Royal Rumble,,who won the 30 man royal rumble match,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hullabahoos,,who sings the final countdown in pitch perfect,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chris Gauthier,,who played smee in once upon a time,NONE,,,,,,,,,,,,,,,,,,,,,,,
Music history of France,,the french secular songs of the middle ages,NONE,,,,,,,,,,,,,,,,,,,,,,,
Disk Cleanup,,what does disk cleanup mean on a computer,NONE,163-183,,,,,,,,,,,,,,,,,,,,,,
Honda CR-V,,which honda cr v has 4 wheel drive,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of United States hurricanes,,when was the last time a hurricane made landfall in the us,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Avon Park, Florida",,where is avon park florida on the map,NONE,767-807,,,,,,,,,,,,,,,,,,,,,,
Pure tone audiometry,,what are the advantages or disadvantages of using pure tones in auditory research,NONE,,,,,,,,,,,,,,,,,,,,,,,
Maria (West Side Story),,where did maria work in west side story,NONE,,,,,,,,,,,,,,,,,,,,,,,
American Horror Story: Cult,,where was the american horror story cult filmed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Great Lakes,,which is the largest great lake in north america,NONE,982-984,,,,,,,,,,,,,,,,,,,,,,
I'm Just a Kid,,i'm just a kid my life is a nightmare,NONE,,,,,,,,,,,,,,,,,,,,,,,
Voyager 1,,how long did it take voyager to reach pluto,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of Germany during World War I,,during the first world war against which country germany did not fight,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of DreamWorks Dragons episodes,,when is season 7 race to the edge coming out,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of World Organization of the Scout Movement members,,how many countries in the world have scouts,NONE,142-143,,,,,,,,,,,,,,,,,,,,,,
The Geographical Pivot of History,,india is the pivot of our empire meaning,NONE,,,,,,,,,,,,,,,,,,,,,,,
Inflation,,during periods of high inflation the money supply typically has been,NONE,,,,,,,,,,,,,,,,,,,,,,,
Johnny Bravo,,how many seasons of johnny bravo are there,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of NHL franchise post-season droughts,,nhl teams to not win the stanley cup,NONE,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,,how many times have the golden state warriors been to the playoffs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,,where did city of brotherly love come from,NONE,2147-2167,,,,,,,,,,,,,,,,,,,,,,
Dichotic listening test,,in the conventional dichotic listening test of language lateralization on each trial,NONE,,,,,,,,,,,,,,,,,,,,,,,
Call Me Maybe,,who's the guy in call me maybe,NONE,3638-3640,,,,,,,,,,,,,,,,,,,,,,
Mars,,whats the distance between mars and the sun,NONE,7961-7969,,,,,,,,,,,,,,,,,,,,,,
War of 1812,,who did the united states fight in the war of 1812,NONE,,,,,,,,,,,,,,,,,,,,,,,
Supernatural (season 13),,when does the new episodes of supernatural start,NONE,136-140,,,,,,,,,,,,,,,,,,,,,,
Plague of Athens,,why was the plague that struck athens so devastating,NONE,319-324,,,,,,,,,,,,,,,,,,,,,,
DNA,,who was it that described the structure of dna,NONE,665-670,,,,,,,,,,,,,,,,,,,,,,
Evolutionary developmental biology,,what does shubin call the regulatory gene that controls the body segments,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tachycardia,,what does a heart rate of 131 mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
California Gold Rush,,the 1848 discovery of gold in the sacramento valley led to all of the following except,NONE,,,,,,,,,,,,,,,,,,,,,,,
Renaissance,,the event marking the beginning of the renaissance period was,NONE,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast (2017 soundtrack),,who sings for the beast in the new movie,NONE,,,,,,,,,,,,,,,,,,,,,,,
School holidays in the United States,,when do students go back to school after mid winter break,NONE,,,,,,,,,,,,,,,,,,,,,,,
Public Provident Fund (India),,what is the current rate of interest on ppf,NONE,501-505,,,,,,,,,,,,,,,,,,,,,,
Blister pack,,what is the difference between pvc and pvdc,NONE,,,,,,,,,,,,,,,,,,,,,,,
Patriot (American Revolution),,who was a patriot in the american revolution,NONE,,,,,,,,,,,,,,,,,,,,,,,
Private pilot,,what aircraft can you fly with a ppl,NONE,,,,,,,,,,,,,,,,,,,,,,,
FA Cup semi-finals,,when is the fa cup semi-finals being played,NONE,,,,,,,,,,,,,,,,,,,,,,,
Microchip implant (animal),,where does the microchip go in a dog,NONE,1137-1156,,,,,,,,,,,,,,,,,,,,,,
History of Cape Town,,where did the name cape town come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
North Korea–South Korea relations,,whats the deal between north and south korea,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Ohio High School Athletic Association championships,,list of division 1 high schools in ohio,NONE,,,,,,,,,,,,,,,,,,,,,,,
American Civil War,,civil war what did the north fight for,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cracker Barrel,,how many states have a cracker barrel restaurant,NONE,356-357,,,,,,,,,,,,,,,,,,,,,,
Papa's Got a Brand New Bag,,who wrote papa got a brand new bag,NONE,348-350,,,,,,,,,,,,,,,,,,,,,,
Mammas Don't Let Your Babies Grow Up to Be Cowboys,,who sings mammas don't let your babies,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jack Taylor (TV series),,how many seasons of jack taylor are on netflix,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Coronation Street actors,,pop stars who have appeared in coronation street,NONE,,,,,,,,,,,,,,,,,,,,,,,
Conscription in the United Kingdom,,when was national service abolished in the uk,NONE,1588-1591,,,,,,,,,,,,,,,,,,,,,,
Privileges or Immunities Clause,,privileges or immunities clause of the 14th amendment,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ferris Bueller's Day Off,,who plays genie in ferris bueller's day off,NONE,,,,,,,,,,,,,,,,,,,,,,,
Their Eyes Were Watching God,,who was the main character in their eyes were watching god,NONE,1077-1079,,,,,,,,,,,,,,,,,,,,,,
Forest,,describe the various uses of forests to human beings,NONE,,,,,,,,,,,,,,,,,,,,,,,
United Nations Security Council veto power,,who has veto power in the national government,NONE,,,,,,,,,,,,,,,,,,,,,,,
Spinal fusion,,what does it mean to fuse the spine,NONE,79-91,,,,,,,,,,,,,,,,,,,,,,
List of best-selling music artists,,who is the highest selling r&b artist of all time,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of island countries,,a country having an island location and a country having continental location,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wreck-It Ralph,,who plays the girl in wreck it ralph,NONE,1792-1794,,,,,,,,,,,,,,,,,,,,,,
Sonnet 116,,love is not love that alters when it alteration finds meaning,NONE,,,,,,,,,,,,,,,,,,,,,,,
Agriculture in Cuba,,cuba is famous for which of the following industries,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of multiple Olympic medalists,,what olympic athlete has won the most medals,NONE,48-50,,,,,,,,,,,,,,,,,,,,,,
In the Ghetto,,what movie is the song in the ghetto from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Planet of the Apes,,list all the planet of the ape movies,NONE,123-127,132-138,143-150,155-162,167-174,184-188,199-206,211-218,223-230,,,,,,,,,,,,,,
Bring It! (TV series),,when is bring it season 5 episode 7 coming on,NONE,,,,,,,,,,,,,,,,,,,,,,,
John F. Kennedy School of Government,,is harvard kennedy school part of harvard university,YES,,,,,,,,,,,,,,,,,,,,,,,
